date,text
2023-05-06 23:41:01+00:00,"✨Pooh is doing an airdrop!

🔥We are celebrating our success by giving back to the community.

Claim your $POOH : 

🔗https://t.co/pqHOEM20Ls

#PepeCoin $ARB #ETH #MONG #PEPE $BOB $DOGE $BRISE $GUAC $BART $SUI $TURBO #HEX $WOJAK #Ethereum $MONG $OP #Bitcoin $WSB #POOHCREW $PEPE https://t.co/V5VHcwJxVl"
2023-05-06 23:40:23+00:00,The #FederalReserve has revealed that 722 banks reported unrealized losses of more than 50% of their capital. #bankcrisis #bankingcrisis https://t.co/6EAHa0FCTV
2023-05-06 23:39:53+00:00,"ord --cookie-file E:/bitcoin/.cookie --atm-machine-goes brrrr

#btcmachine #bitcoincity https://t.co/jFwzVz5qQo"
2023-05-06 23:38:29+00:00,@asbelcas hacked gofundme weed molly shrooms acid lsd adderall addies percs edibles hash oil vape plug dealer crypto bitcoin NFT coin unban suspended account banned I need a shirt of this homework essay help website cash app venmo paypal sugar daddy baby stream art commission needed donate
2023-05-06 23:37:18+00:00,"Bitcoin Golden Cross only happens once every 4yrs. Every Bitcoin cycle since 2011 the #GoldenCross signals the bull run has started. #Bitcoin  never once put in a new lower, lower after the cross happened. This happens every single year 30-100 days before the #BitcoinHalving. https://t.co/nYxqU5RORa"
2023-05-06 23:36:55+00:00,@RobertJSalvador @mehdirhasan You knew Bitcoin would be in that bio. 😂
2023-05-06 23:34:26+00:00,"Watch these Bitcoin price levels next as BTC dips 3% in choppy weekend https://t.co/9vuyJ5FYIV via @cointelegraph 

“Bitcoin really is in limbo right now and doesn't know what to do .. I am back out of a position and just waiting again for one side of this range to break to re… https://t.co/aBzqcYrrDN"
2023-05-06 23:34:11+00:00,"Bitcoin incentives are aligned, and the fee market is efficient, assuming rational economic actors. 

Paying 4$ to move 0.16$ is not a rational economic decision. 

There is a secret payoff outside of the network, which doesn't align with other network participant incentives. https://t.co/eB3g9YKFSy"
2023-05-06 23:33:40+00:00,"$PG Melt Faces 🫠!
#PEPEGROW @Pepegrowtoken_ 
Gave you all ALPHA entries but this is just warming up. Mark my words 50-100x on this one 😎 #crypto #Bitcoin https://t.co/n6RPagolD6"
2023-05-06 23:33:32+00:00,@toastwrId @SadgeMaker @ValidLs My crypto wallet was hacked I lost all my retros my nft got robbed I need a sugardaddy my nft got hacked I need this shirt Roblox Minecraft my ps4 account got hacked my Xbox account got hacked I need a sugarmommy suga daddy i got scammed netflix HELP I GOT SCAMMED #NFT #Bitcoin
2023-05-06 23:33:14+00:00,"If cash if a poor store of value, and gold &amp; bitcoin are great stores of value, then when you get paid, why not just exchange your cash for gold &amp; bitcoin, and then be thankful that when it comes time to pay your taxes you can just convert some back to the now devalued cash? 
🤷… https://t.co/nGTyCODe6I"
2023-05-06 23:33:12+00:00,@SadgeMaker @toastwrId @ValidLs My crypto wallet was hacked I lost all my retros my nft got robbed I need a sugardaddy my nft got hacked I need this shirt Roblox Minecraft my ps4 account got hacked my Xbox account got hacked I need a sugarmommy suga daddy i got scammed netflix HELP I GOT SCAMMED #NFT #Bitcoin
2023-05-06 23:33:06+00:00,"#Bitcoin would still become a $10T+ asset even if the block weight limit was 10x less, and fees were $500 per transaction."
2023-05-06 23:32:50+00:00,"Someone definitely didn't sell the TOP 
$BTC 
BITCOIN https://t.co/uK3W4ixyh4"
2023-05-06 23:32:33+00:00,weed molly shrooms acid lsd adderall addies percs edibles hash oil vape plug dealer crypto bitcoin NFT alt coin unban suspended account banned I wish I had this tweet on a shirt homework essay help website cash app venmo paypal sugar daddy baby I need a shirt of this
2023-05-06 23:32:00+00:00,"A buddy at the firehouse who's a bit cash flow strapped at the moment told us he's gonna start driving a truck on some of his off days so he can stack #Bitcoin.

That's some #BlueCollarBitcoin sh*t right there.💪"
2023-05-06 23:30:33+00:00,"If they can do this for bitcoin &amp; ethereum

That be nice, I'm pro regulations if that's the case https://t.co/pzuhBGKR2o"
2023-05-06 23:30:00+00:00,"@toastwrId @SadgeMaker @ValidLs Wait really??? sorry I can't hear you, because my metamask trust wallet got lost #Bitcoin, the nfts of mine was stolen #NFT, I need a sugar daddy as well and I forgot to say my coinbase account got hacked, note that any assistance is getting my hearing in works again"
2023-05-06 23:29:34+00:00,"@instagram hey, our Ecolofty Instagram page has been hacked. PLEASE HELP.

Someone has hacked in and locked us out by changing the phone number associated with the account and is now posting bitcoin content. What to do please? None of your help pages are helping."
2023-05-06 23:29:17+00:00,@_meirskiii You got bitcoin chasin you ? Thats crazy
2023-05-06 23:29:00+00:00,"@fluidvoice @0ZeroAuthority @jackbinswitch @peacelovecrypt0 @EdHODLbtc Yeah I still think broad market including s&amp;p goes down  lower near year end and we have a recovery next year. Seeing all risk on assets have some solid gains.

Although if it is bank failure related Bitcoin could see some growth off of that alone this year."
2023-05-06 23:28:05+00:00,https://t.co/Ic2c3WGBKv Catch Up With Highlights ▶️ https://t.co/qwq5GEGtOp #Bitcoin #Sportsbook https://t.co/zs6sORifJG
2023-05-06 23:25:55+00:00,@saylor King is #Bitcoin
2023-05-06 23:25:40+00:00,@JohnKra85201535 @StockMKTNewz Bitcoin is joke doesnt matter how much higher it goes its only speculation
2023-05-06 23:25:15+00:00,Facebook reminded me of this god awful bitcoin fortune cookie I got last year lmao https://t.co/NqxmqqlzNe
2023-05-06 23:24:31+00:00,"The money thing is going to be pivotal, isn't it?

As we build a parallel society.

Everybody betting on the choice they have made.
Gold, silver, cash, crypto (bitcoin).

Don't get too connected to your choice.

This will reveal itself.

You might have to change your mind."
2023-05-06 23:24:12+00:00,"NFTS are revolutionizing the way we collect and exchange digital assets, and #Bitcoin is leading the charge as the #1 crypto-currency of the moment. #NFT #opensea #AIDOGE #pepe https://t.co/yajNXLtxqe"
2023-05-06 23:24:09+00:00,"First time in ages; mining #bitcoin became 1.5% less difficult

https://t.co/CPTZzoVAhl https://t.co/ZbUsZF7Ehl"
2023-05-06 23:23:57+00:00,"who would’ve thought creating an open protocol for meme coins on L1 bitcoin would bring Bitcoin back to life?

ʰⁱⁿᵗ: ⁱᵗˢ ᵘˢ, ʷᵉ ᵏⁿᵉʷ ⁱᵗ https://t.co/EFlFxVOwd6"
2023-05-06 23:23:49+00:00,@unsocialed weed molly shrooms acid lsd adderall addies percs edibles hash oil vape plug dealer crypto bitcoin NFT alt coin unban suspended account banned I wish I had this tweet on a shirt homework essay help website cash app venmo paypal sugar daddy baby I need a shirt of this
2023-05-06 23:23:18+00:00,@MichaelWRivera I need this on a shirt I lost my bitcoin coin crypto metamask NFT wallet and I want robux venmo sugar daddy sugar mommy cash app hacked need shrooms weed plug unban banned hacked
2023-05-06 23:23:05+00:00,"I took the liberty of deploying 🥓to the #Bitcoin blockchain as a #BRC20 for you hungry, bacon loving degens. 

🥓69,420 pieces of on crispy on chain meat candy. 10 pieces per mint.

-&gt; Download https://t.co/rJcrvwDqNu or @unisat_wallet.
-&gt; Grab an -&gt;Ordinals&lt;- receive address.… https://t.co/WM4Fdn1mR9 https://t.co/1LRg1WtYvh"
2023-05-06 23:22:35+00:00,"@francispouliot_ People are up in arms about the fees right now but honestly I couldn’t care less, I’d happily pay $4 in fees to move any amount of #Bitcoin without any bank or government being involved… that’s kind of the whole damn point."
2023-05-06 23:22:22+00:00,"It’s very good to listen and speak to crypto Normies ESPECIALLY during a bull market.

The things they say at this specific time are usually an indicator of what assets you should SELL.

Normies are always used as exit liquidity. This is the way the market works! #Bitcoin"
2023-05-06 23:22:20+00:00,"@jackbinswitch @fluidvoice @peacelovecrypt0 @EdHODLbtc Really feels like end of the bear market in 2018 when Bitcoin went to 3,000 and every kept saying it’s going to 1,000, then it’s kept climbing higher each week. 
I missed out on Doge and SHIB and the cool NFTS. 
Not missing fun opportunities this time around 😉"
2023-05-06 23:22:15+00:00,It seems like not many prominent people in bitcoin still do not understand the entire banking system is completely FUBAR and can collapse at any moment.
2023-05-06 23:21:59+00:00,@karvelie metamask trust wallet bitcoin gfx vfx free logo money
2023-05-06 23:20:49+00:00,"Buy $FREN

1000X UPSIDE POTENTIAL 

$PEPE $DINO $DOGE 

#Crypto #Bitcoin https://t.co/6dLRMxPK5b https://t.co/XRHOAg9icX"
2023-05-06 23:20:43+00:00,"If people are ""attacking"" bitcoin by spamming the network all you have to do is wait it out. They will eventually run out of bitcoin or need to purchase more.

This isn't a long term problem but a short term annoyance."
2023-05-06 23:20:41+00:00,"For all of you too dense to figure it out..

@bittensor_ account migrated to @opentensor ✅

Opentensor Foundation are contributing heavily to Bittensor $TAO

I don't know what the future will hold for the @bittensor_ account.. Maybe a similar fate to @bitcoin

""rUgPuLl??""

smh"
2023-05-06 23:20:27+00:00,"So, how much #bitcoin is bought and donated to devs from Bitcoin Miami? @BitcoinNewsCom @BitcoinMagazine @coryklippsten asking for a fren"
2023-05-06 23:19:36+00:00,"@Algorand101 @Richflairstv @RanterSR7 Cardano, solana, tezos, bitcoin? I dunno lol"
2023-05-06 23:19:31+00:00,@TheQuartering weed molly shrooms acid lsd adderall addies percs edibles hash oil vape plug dealer crypto bitcoin NFT alt coin unban suspended account banned I wish I had this tweet on a shirt homework essay help website cash app venmo paypal sugar daddy baby I need a shirt of this
2023-05-06 23:19:27+00:00,@hendry_hugh No finger Hugh my boy.  “The {Financial System} smiles at us all; all we can do is smile back.”  #Bitcoin
2023-05-06 23:19:24+00:00,My face when people tell me #bitcoin is going to fail. https://t.co/x3lCZ7mkQh
2023-05-06 23:18:59+00:00,"During our interview, we asked @ck_SNARKs what he’s excited about at this years @TheBitcoinConf. 

“The expo hall is going to be hundreds and hundreds of companies in the space…”

Full interview: https://t.co/0leaviGc92

Get your Bitcoin Conference 2023 🎟️:… https://t.co/roOuICEkOp https://t.co/LCSdH7408k"
